EmployeeKey,EmployeeNumber,DepartmentKey,JobRoleKey,EducationFieldKey,BusinessTravelKey,GenderKey,MaritalStatusKey,Age,DistanceFromHome,JobLevel,JobInvolvement,OverTime,NumCompaniesWorked,StockOptionLevel,DailyRate,HourlyRate,MonthlyRate,MonthlyIncome,PercentSalaryHike,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,PerformanceRating,WorkLifeBalance,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,Education,EducationLevel,AgeGroup,SalaryBand,TensureGroup,Job Satisfaction Level
1355,1907,2,3,2,3,2,3,56,24,1,3,No,1,0,1162,97,10261,2587,16,1,4,4,3,3,5,3,4,2,1,0,Yes,2,College,56+,Low Salary,Early Career,Very High
32,40,2,1,5,3,2,2,44,10,2,3,Yes,2,0,1459,41,19121,6465,13,4,4,4,3,4,9,5,4,2,1,3,No,4,Master,36-45,Meduim Salary,Early Career,Very High
33,41,2,3,4,3,2,3,30,9,1,2,No,1,0,125,83,16117,2206,13,4,3,1,3,3,10,5,10,0,1,8,No,2,College,26-35,Low Salary,Experienced,High
36,46,2,7,4,3,1,1,43,2,1,4,No,1,2,1273,72,21923,2645,12,4,3,4,3,2,6,3,5,3,1,4,No,2,College,36-45,Low Salary,Early Career,High
59,76,2,3,2,3,2,1,31,7,2,3,No,3,1,655,48,9528,5915,22,4,4,4,4,2,10,3,7,7,1,7,No,4,Master,26-35,Meduim Salary,Experienced,Very High
73,95,2,7,4,3,2,3,31,1,1,3,No,1,0,1082,87,18775,2501,17,3,2,2,3,3,1,4,1,1,1,0,No,4,Master,26-35,Low Salary,New Employee,Medium
76,98,2,5,2,3,1,3,31,8,2,3,No,1,0,746,61,20682,4424,23,3,4,4,4,3,11,2,11,7,1,8,No,4,Master,26-35,Meduim Salary,Long-Term,Very High
85,110,2,5,4,3,2,2,34,1,2,3,No,1,0,1153,94,17736,4325,15,1,2,3,3,3,5,2,5,2,1,3,No,2,College,26-35,Meduim Salary,Early Career,Medium
149,200,2,3,2,3,2,2,41,9,1,3,No,2,1,933,94,6961,2238,21,3,1,4,4,3,7,2,5,0,1,4,No,4,Master,36-45,Low Salary,Early Career,Low
164,223,2,1,2,3,2,1,57,24,3,4,Yes,3,1,334,83,23402,9439,16,3,4,2,3,1,12,2,5,3,1,4,No,2,College,56+,High Salary,Early Career,Very High
167,227,2,7,2,3,2,1,41,14,1,3,No,4,1,465,56,4609,2451,12,1,3,1,3,3,13,2,9,8,1,8,No,3,Bachelor,36-45,Low Salary,Experienced,High
170,231,2,7,2,3,2,3,32,6,1,3,No,3,0,120,43,12430,3038,20,3,3,1,4,3,8,2,5,4,1,4,No,5,Doctor,26-35,Meduim Salary,Early Career,High
171,233,2,7,6,3,2,2,27,17,1,3,Yes,0,1,1157,51,13364,3058,16,3,2,4,3,2,6,3,5,2,1,1,No,3,Bachelor,26-35,Meduim Salary,Early Career,Medium
185,250,2,5,4,3,1,1,53,13,2,4,No,1,2,1084,57,26250,4450,11,4,1,3,3,3,5,3,4,2,1,3,No,2,College,46-55,Meduim Salary,Early Career,Low
186,252,2,7,4,3,1,2,33,14,1,3,No,1,1,931,72,4673,2756,13,4,2,4,3,3,8,5,8,7,1,6,No,3,Bachelor,26-35,Low Salary,Experienced,Medium
190,258,2,1,4,3,1,3,51,3,4,3,No,3,0,313,98,7192,13734,18,4,2,3,3,3,21,6,7,7,1,0,No,3,Bachelor,46-55,High Salary,Experienced,Medium
196,267,2,7,2,3,2,2,37,21,1,4,Yes,1,1,290,65,22977,3564,12,2,1,1,3,2,8,3,8,7,1,7,No,3,Bachelor,36-45,Meduim Salary,Experienced,Low
200,273,2,5,6,3,2,2,38,29,2,3,No,3,1,1084,54,4185,6261,18,4,4,1,3,1,9,3,7,7,1,7,No,3,Bachelor,36-45,Meduim Salary,Experienced,Very High
222,305,2,7,4,3,1,2,33,4,1,2,No,6,0,147,47,13248,2622,21,3,2,4,4,3,7,3,3,2,1,1,No,4,Master,26-35,Low Salary,Early Career,Medium
245,336,2,4,5,3,2,2,45,1,5,4,No,0,1,252,70,15970,19202,11,3,4,3,3,3,25,2,24,0,1,7,No,3,Bachelor,36-45,Very High Salary,Long-Term,Very High
253,346,2,7,2,3,2,3,29,15,1,3,No,1,0,665,60,22673,2340,19,3,4,1,3,3,6,1,6,5,1,5,No,3,Bachelor,26-35,Low Salary,Experienced,Very High
275,379,2,7,4,3,2,3,21,3,1,2,No,1,0,996,100,10531,3230,17,4,3,1,3,4,3,4,3,2,1,0,No,2,College,18-25,Meduim Salary,Early Career,High
280,385,2,6,2,3,2,1,50,4,5,3,No,3,2,797,96,15815,19144,14,1,2,1,3,2,28,4,10,4,1,6,No,1,Below College,46-55,Very High Salary,Experienced,Medium
281,386,2,6,4,3,2,2,53,3,4,3,Yes,3,3,1070,45,21016,17584,16,3,3,4,3,2,21,5,5,3,1,3,No,4,Master,46-55,Very High Salary,Early Career,High
325,441,2,7,4,3,1,2,30,28,2,3,No,1,2,1275,64,11934,5775,13,4,4,4,3,3,11,2,10,8,1,9,No,2,College,26-35,Meduim Salary,Experienced,Very High
330,447,2,6,2,3,2,2,47,5,5,3,No,4,1,1482,42,16375,18300,11,4,3,2,3,3,21,2,3,2,1,1,No,5,Doctor,46-55,Very High Salary,Early Career,High
362,483,2,3,2,3,1,2,40,10,1,4,Yes,3,1,1171,46,22495,2213,13,4,3,3,3,3,10,3,7,7,1,7,No,4,Master,36-45,Low Salary,Experienced,High
368,491,2,1,6,3,2,3,50,10,3,2,No,6,0,1046,100,2755,10496,15,4,4,4,3,3,20,2,4,3,1,3,No,3,Bachelor,46-55,High Salary,Early Career,Very High
405,536,2,3,4,3,2,1,28,17,2,3,No,1,1,1300,79,13535,4558,12,3,1,4,3,3,10,2,10,0,1,8,No,2,College,26-35,Meduim Salary,Experienced,Low
409,546,2,4,2,3,1,2,52,4,4,3,No,2,0,1490,30,10310,16555,13,4,4,4,3,1,31,2,5,2,1,4,No,2,College,46-55,Very High Salary,Early Career,Very High
475,639,2,7,4,3,2,2,24,23,1,4,Yes,1,2,691,89,21630,2725,11,2,4,2,3,3,6,3,6,5,1,4,No,3,Bachelor,18-25,Low Salary,Experienced,Very High
482,649,2,7,2,3,2,2,34,1,1,2,Yes,1,1,254,83,22794,3622,13,2,4,4,3,3,6,3,6,5,1,3,No,2,College,26-35,Meduim Salary,Experienced,Very High
513,700,2,7,4,3,2,3,27,3,1,2,No,0,0,1115,54,15174,2045,13,1,4,4,3,3,5,0,4,2,1,1,No,4,Master,26-35,Low Salary,Early Career,Very High
530,724,2,1,2,3,1,3,38,1,2,4,No,0,0,827,33,19383,7625,13,2,4,3,3,2,10,4,9,7,1,8,No,4,Master,36-45,High Salary,Experienced,Very High
535,730,2,6,2,3,2,2,53,7,4,4,No,3,0,970,59,13514,14814,19,3,3,3,3,3,32,3,5,1,1,3,No,3,Bachelor,46-55,High Salary,Early Career,High
553,762,2,1,4,3,2,2,56,9,4,3,No,7,0,832,81,20420,11103,11,3,4,3,3,2,30,1,10,7,1,1,No,3,Bachelor,56+,High Salary,Experienced,Very High
573,793,2,1,4,3,1,2,29,27,2,3,No,4,1,657,66,25549,4335,12,2,3,1,3,2,11,3,8,7,1,1,No,3,Bachelor,26-35,Meduim Salary,Experienced,High
575,797,2,7,2,3,1,3,34,1,1,4,No,2,0,182,72,13551,3280,16,2,4,3,3,3,10,2,4,2,1,3,No,4,Master,26-35,Meduim Salary,Early Career,Very High
576,799,2,5,4,3,1,1,54,19,2,3,Yes,9,2,376,95,22670,5485,11,4,1,2,3,3,9,4,5,3,1,4,No,4,Master,46-55,Meduim Salary,Early Career,Low
580,804,2,7,4,3,1,3,34,2,1,2,No,1,0,121,86,7530,4381,11,3,1,3,3,3,6,3,6,5,1,3,No,4,Master,26-35,Meduim Salary,Experienced,Low
588,813,2,3,2,3,1,2,52,11,2,3,No,8,1,1325,82,21821,3149,20,4,3,2,4,3,9,3,5,2,1,4,No,4,Master,46-55,Meduim Salary,Early Career,High
610,843,2,6,2,3,2,2,43,14,4,3,No,6,1,589,94,5200,17159,24,2,1,3,4,3,22,3,4,1,1,0,No,2,College,36-45,Very High Salary,Early Career,Low
612,845,2,5,5,3,2,3,35,7,3,3,No,3,0,950,59,18869,10221,21,3,3,2,4,4,17,3,8,5,1,6,No,3,Bachelor,26-35,High Salary,Experienced,High
621,856,2,7,4,3,1,3,35,27,1,2,No,1,0,1343,53,17852,2559,11,3,1,4,3,2,6,3,6,5,1,1,No,1,Below College,26-35,Low Salary,Experienced,Low
627,865,2,7,4,3,1,2,32,8,2,4,No,5,1,638,91,22162,5175,12,3,3,3,3,2,9,3,5,3,1,3,No,2,College,26-35,Meduim Salary,Early Career,High
644,894,2,3,2,3,1,2,42,3,2,4,Yes,2,1,1265,95,23726,5231,13,3,4,2,3,2,17,1,5,3,1,3,No,3,Bachelor,36-45,Meduim Salary,Early Career,Very High
672,934,2,3,2,3,2,1,34,10,1,3,No,1,2,546,83,6896,2008,14,2,2,2,3,3,1,3,1,0,1,0,No,3,Bachelor,26-35,Low Salary,New Employee,Medium
678,944,2,3,5,3,1,2,49,8,3,3,No,4,1,527,51,22477,7403,11,1,2,3,3,2,29,3,26,9,1,7,No,2,College,46-55,High Salary,Long-Term,Medium
695,969,2,1,2,3,1,3,33,1,2,2,No,0,0,1069,42,12291,6949,14,2,4,1,3,3,6,3,5,0,1,4,No,3,Bachelor,26-35,Meduim Salary,Early Career,Very High
715,997,2,6,4,3,2,1,50,1,4,3,No,9,1,1126,66,6615,17399,22,4,4,3,4,2,32,1,5,4,1,3,No,2,College,46-55,Very High Salary,Early Career,Very High
722,1005,2,5,2,3,2,2,50,24,4,3,Yes,3,1,939,95,4161,13973,18,4,3,4,3,3,22,2,12,11,1,5,No,3,Bachelor,46-55,High Salary,Long-Term,High
731,1015,2,6,2,3,1,2,30,8,3,4,Yes,0,3,153,73,17802,11416,12,2,1,3,3,2,9,4,8,7,1,7,No,2,College,26-35,High Salary,Experienced,Low
734,1018,2,5,4,3,2,2,26,2,2,4,No,1,0,1066,32,3334,5472,12,4,4,2,3,3,8,2,8,7,1,3,No,2,College,26-35,Meduim Salary,Experienced,Very High
735,1019,2,3,2,3,2,2,22,8,1,1,No,1,1,217,94,6881,2451,15,2,1,1,3,2,4,3,4,3,1,1,No,1,Below College,18-25,Low Salary,Early Career,Low
779,1080,2,7,2,3,1,1,46,8,2,2,Yes,8,3,1003,74,21029,4615,23,4,1,1,4,3,19,2,16,13,1,7,No,4,Master,46-55,Meduim Salary,Long-Term,Low
782,1083,2,3,4,3,2,2,26,1,1,2,No,1,2,192,59,11141,3955,16,1,1,1,3,3,6,2,5,3,1,3,No,2,College,26-35,Meduim Salary,Early Career,Low
785,1088,2,1,2,3,1,2,38,17,3,2,No,0,1,330,65,24608,8823,18,3,3,1,3,2,20,4,19,9,1,9,No,1,Below College,36-45,High Salary,Long-Term,High
789,1097,2,7,5,3,1,3,28,10,2,3,No,3,0,857,59,7909,3660,13,3,3,4,3,4,10,4,8,7,1,7,No,3,Bachelor,26-35,Meduim Salary,Experienced,High
809,1120,2,7,2,3,1,1,29,28,1,3,No,4,1,1107,93,26968,2514,22,3,4,1,4,3,11,1,7,5,1,7,No,4,Master,26-35,Low Salary,Experienced,Very High
810,1121,2,5,4,3,1,1,28,3,3,3,No,0,3,950,93,8039,7655,17,4,2,2,3,2,10,3,9,7,1,7,No,3,Bachelor,26-35,High Salary,Experienced,Medium
833,1161,2,1,4,3,1,1,37,25,2,2,No,7,2,367,52,17171,5731,13,3,4,3,3,3,9,2,6,2,1,3,No,2,College,36-45,Meduim Salary,Experienced,Very High
841,1172,2,3,4,3,2,2,35,1,1,2,No,6,1,982,58,16340,2258,12,4,3,2,3,3,10,2,8,0,1,7,No,4,Master,26-35,Low Salary,Experienced,High
860,1202,2,7,2,3,1,2,29,15,1,1,Yes,0,1,942,69,26933,2168,18,2,4,1,3,2,6,2,5,4,1,3,No,1,Below College,26-35,Low Salary,Early Career,Very High
874,1221,2,3,2,3,2,1,36,6,1,1,No,1,1,917,60,6865,2741,14,3,3,3,3,3,7,4,7,7,1,7,No,4,Master,36-45,Low Salary,Experienced,High
878,1228,2,5,6,3,2,1,46,2,2,3,No,2,1,150,60,17433,7379,11,4,4,3,3,2,12,3,6,3,1,4,No,4,Master,46-55,High Salary,Experienced,Very High
897,1252,2,1,4,3,1,3,31,24,2,2,No,1,0,1062,96,17198,6812,19,3,1,2,3,3,10,2,10,9,1,8,No,3,Bachelor,26-35,Meduim Salary,Experienced,Low
904,1260,2,1,2,3,2,1,29,7,2,3,Yes,1,2,1329,82,4204,6623,11,3,4,2,3,3,6,2,6,0,1,0,No,3,Bachelor,26-35,Meduim Salary,Experienced,Very High
906,1264,2,6,2,3,1,1,29,1,4,2,No,3,2,694,87,3423,16124,14,4,4,2,3,2,9,2,7,7,1,7,No,3,Bachelor,26-35,Very High Salary,Experienced,Very High
943,1312,2,1,6,3,1,2,36,10,3,3,No,3,0,325,63,5747,7094,12,4,3,1,3,3,10,0,7,7,1,7,No,4,Master,36-45,High Salary,Experienced,High
950,1322,2,5,2,3,2,3,39,18,2,3,No,0,0,524,32,13352,4534,11,1,3,1,3,3,9,6,8,7,1,7,No,2,College,36-45,Meduim Salary,Experienced,High
959,1344,2,1,2,3,2,1,34,9,3,3,No,0,1,943,86,5494,8500,11,4,4,4,3,2,10,0,9,7,1,6,No,3,Bachelor,26-35,High Salary,Experienced,Very High
990,1394,2,7,2,3,2,2,37,4,1,3,Yes,7,0,1439,54,5182,2996,15,3,3,4,3,3,8,2,6,4,1,3,No,1,Below College,36-45,Low Salary,Experienced,High
996,1402,2,7,4,3,1,3,43,6,2,2,Yes,1,0,930,73,20003,4081,14,1,3,1,3,1,20,3,20,7,1,8,No,3,Bachelor,36-45,Meduim Salary,Long-Term,High
999,1407,2,7,4,3,2,3,26,2,1,2,No,0,0,683,36,4050,3904,12,1,4,4,3,3,5,2,4,3,1,1,No,1,Below College,26-35,Meduim Salary,Early Career,Very High
1010,1423,2,6,4,3,1,2,58,1,5,3,Yes,3,1,1055,76,22456,19701,21,4,1,3,4,3,32,3,9,8,1,5,No,3,Bachelor,56+,Very High Salary,Experienced,Low
1015,1430,2,6,2,3,1,3,31,8,4,3,No,3,0,182,93,8847,16422,11,1,2,3,3,4,9,3,3,2,1,0,No,5,Doctor,26-35,Very High Salary,Early Career,Medium
1018,1434,2,3,2,3,2,2,27,11,1,3,No,0,0,1377,91,7679,2099,14,2,1,2,3,4,6,3,5,0,1,4,No,1,Below College,26-35,Low Salary,Early Career,Low
1019,1435,2,3,2,3,2,3,36,4,2,2,No,1,0,172,37,22604,5810,16,1,4,3,3,2,10,2,10,4,1,8,No,4,Master,36-45,Meduim Salary,Experienced,Very High
1024,1441,2,7,2,3,1,2,56,1,1,3,No,2,1,1255,90,10494,2066,22,1,1,4,4,4,5,3,3,2,1,0,No,2,College,56+,Low Salary,Early Career,Low
1047,1475,2,7,2,3,2,3,44,20,1,3,No,1,0,1467,49,21158,3420,13,4,2,3,3,2,6,3,5,2,1,3,No,3,Bachelor,36-45,Meduim Salary,Early Career,Medium
1074,1514,2,5,2,3,2,2,28,29,2,1,No,1,2,1083,96,3173,6549,14,3,2,2,3,2,8,2,8,6,1,7,No,1,Below College,26-35,Meduim Salary,Experienced,Medium
1123,1586,2,3,4,3,2,3,29,3,1,3,Yes,1,0,1370,87,16213,4723,18,2,1,4,3,3,10,3,10,9,1,5,No,1,Below College,26-35,Meduim Salary,Experienced,Low
1141,1608,2,6,4,3,1,1,44,7,5,3,Yes,0,1,1313,31,3549,19049,14,2,4,4,3,2,23,4,22,7,1,10,No,3,Bachelor,36-45,Very High Salary,Long-Term,Very High
1142,1609,2,7,4,3,2,2,30,7,1,2,No,1,1,241,48,5348,2141,12,2,2,2,3,2,6,3,6,4,1,1,No,3,Bachelor,26-35,Low Salary,Experienced,Medium
1143,1611,2,3,4,3,1,3,45,5,2,1,Yes,1,0,1015,50,23447,5769,14,3,1,1,3,3,10,3,10,7,1,4,No,5,Doctor,36-45,Meduim Salary,Experienced,Low
1146,1614,2,5,2,3,1,2,36,12,2,3,Yes,9,2,559,76,12421,4663,12,3,3,2,3,3,7,2,3,2,1,1,No,4,Master,36-45,Meduim Salary,Early Career,High
1148,1617,2,3,2,3,1,2,49,25,1,3,No,1,1,722,84,22102,3211,14,3,1,4,3,2,10,3,9,6,1,4,No,4,Master,46-55,Meduim Salary,Experienced,Low
1151,1621,2,7,2,3,2,2,35,18,2,4,No,1,0,819,48,26312,5208,11,2,1,4,3,3,16,2,16,15,1,10,No,5,Doctor,26-35,Meduim Salary,Long-Term,Low
1176,1654,2,5,4,3,2,2,39,12,2,3,No,4,0,492,66,7693,5295,21,4,2,3,4,3,7,3,5,4,1,0,No,3,Bachelor,36-45,Meduim Salary,Early Career,Medium
1178,1656,2,6,2,3,1,1,50,17,3,2,No,5,3,813,50,21981,13269,15,4,1,3,3,3,19,3,14,11,1,11,No,5,Doctor,46-55,High Salary,Long-Term,Low
1181,1659,2,3,2,3,2,3,36,7,1,3,No,2,0,311,77,10950,2013,11,1,2,3,3,3,15,4,4,3,1,3,No,3,Bachelor,36-45,Low Salary,Early Career,Medium
1191,1671,2,7,4,3,2,1,32,2,2,3,No,0,2,977,45,25518,5470,13,4,2,3,3,2,10,4,9,5,1,6,No,3,Bachelor,26-35,Meduim Salary,Experienced,Medium
1249,1751,2,7,4,3,1,3,27,8,1,3,No,1,0,1054,67,6152,3445,11,3,4,3,3,2,6,5,6,2,1,4,No,3,Bachelor,26-35,Meduim Salary,Experienced,Very High
1260,1763,2,1,2,3,2,2,30,16,2,4,No,3,1,305,58,9128,5294,16,3,3,3,3,3,10,3,7,0,1,7,No,3,Bachelor,26-35,Meduim Salary,Experienced,High
1262,1766,2,1,4,3,2,2,38,18,2,1,Yes,3,1,833,60,24539,5811,16,2,4,3,3,3,15,2,1,0,1,0,No,3,Bachelor,36-45,Meduim Salary,New Employee,Very High
1306,1830,2,7,4,3,1,2,54,7,2,3,No,4,1,431,68,15696,6854,15,4,4,2,3,2,14,2,7,1,1,7,No,4,Master,46-55,Meduim Salary,Experienced,Very High
1325,1859,2,1,2,3,2,1,29,29,2,1,No,8,2,726,93,21143,6384,17,4,3,4,3,3,11,3,7,0,1,6,No,1,Below College,26-35,Meduim Salary,Experienced,High
1350,1893,2,7,2,3,1,2,26,1,1,2,Yes,1,1,482,90,14908,2933,13,2,3,3,3,2,1,3,1,0,1,0,No,2,College,26-35,Low Salary,New Employee,High
1407,1980,2,5,4,3,1,3,54,10,2,3,Yes,6,0,157,77,25198,4440,19,3,1,4,3,3,9,3,5,2,1,4,No,3,Bachelor,46-55,Meduim Salary,Early Career,Low
1409,1982,2,3,5,3,2,3,23,12,1,3,No,1,0,571,78,13672,2647,13,4,4,3,3,4,5,6,5,2,1,4,No,2,College,18-25,Low Salary,Early Career,Very High
1413,1989,2,3,4,3,2,2,30,1,1,3,No,1,0,911,76,4077,3748,13,4,2,3,3,2,12,6,12,8,1,7,No,2,College,26-35,Meduim Salary,Long-Term,Medium
1421,1999,2,7,2,3,2,2,41,1,1,3,No,3,1,642,76,21412,2782,22,4,4,1,4,3,12,3,5,3,1,0,No,3,Bachelor,36-45,Low Salary,Early Career,Very High
1430,2014,2,7,2,3,2,3,39,24,2,3,No,7,0,116,52,5340,4108,13,1,4,1,3,3,18,2,7,7,1,7,No,1,Below College,36-45,Meduim Salary,Experienced,Very High
1431,2015,2,6,4,3,1,2,38,10,3,1,No,3,1,201,99,3376,13206,12,2,3,1,3,3,20,3,18,16,1,11,No,3,Bachelor,36-45,High Salary,Long-Term,High
1459,2052,2,7,2,3,1,2,35,1,1,1,No,1,1,287,62,8952,2977,12,3,4,4,3,3,4,5,4,3,1,1,No,4,Master,26-35,Low Salary,Early Career,Very High
1467,2062,2,1,4,3,2,2,39,6,3,2,No,4,1,613,42,21457,9991,15,4,1,1,3,3,9,5,7,7,1,7,No,1,Below College,36-45,High Salary,Experienced,Low
14,18,2,3,4,3,2,1,34,19,1,3,No,0,1,1346,93,8758,2661,11,2,4,3,3,3,3,2,2,2,1,2,No,2,College,26-35,Low Salary,New Employee,Very High
197,269,2,3,4,2,1,3,35,2,2,3,No,5,0,138,37,15986,4425,11,2,2,4,3,3,10,5,6,2,1,2,No,3,Bachelor,26-35,Meduim Salary,Experienced,Medium
288,393,2,1,2,3,2,1,38,23,2,3,No,9,1,688,82,18899,5745,14,4,4,2,3,3,10,2,2,2,1,2,No,4,Master,36-45,Meduim Salary,New Employee,Very High
339,456,3,8,3,3,1,1,30,5,2,2,No,1,3,570,30,5431,6118,13,4,3,3,3,3,10,2,10,9,1,2,No,3,Bachelor,26-35,Meduim Salary,Experienced,High
384,511,2,7,4,3,1,2,22,11,1,3,No,1,1,253,43,24440,2244,13,1,2,4,3,3,2,1,2,1,1,2,No,3,Bachelor,18-25,Low Salary,New Employee,Medium
444,593,2,3,6,2,2,3,22,4,1,2,No,5,0,1368,99,9129,3894,16,3,3,3,3,3,4,3,2,2,1,2,Yes,1,Below College,18-25,Meduim Salary,New Employee,High
465,623,2,5,6,3,1,3,37,1,3,3,No,4,0,799,59,23848,7491,17,2,4,4,3,4,12,3,6,5,1,2,No,3,Bachelor,36-45,High Salary,Experienced,Very High
466,624,2,1,4,2,1,2,46,18,3,3,No,5,0,1034,86,8984,10527,11,1,3,4,3,2,28,3,2,2,1,2,No,1,Below College,46-55,High Salary,New Employee,High
480,647,2,3,2,2,1,2,24,7,1,3,Yes,1,1,1287,55,14168,2886,16,1,3,4,3,3,6,4,6,3,1,2,Yes,3,Bachelor,18-25,Low Salary,Experienced,High
508,690,3,8,4,3,1,2,29,3,2,3,No,1,1,1176,62,3487,5561,14,2,3,1,3,2,6,5,6,0,1,2,No,2,College,26-35,Meduim Salary,Experienced,High
643,893,3,9,3,3,2,2,38,9,1,2,No,0,1,395,98,12102,2899,19,2,2,4,3,3,3,3,2,2,1,2,No,3,Bachelor,36-45,Low Salary,New Employee,Medium
716,998,2,1,5,2,1,2,33,1,2,4,Yes,1,1,827,84,20161,5488,13,3,2,1,3,3,6,2,6,5,1,2,No,4,Master,26-35,Meduim Salary,Experienced,Medium
826,1150,2,5,4,3,2,2,29,8,2,2,Yes,1,1,718,79,17689,5056,15,2,4,3,3,2,10,2,10,7,1,2,No,1,Below College,26-35,Meduim Salary,Experienced,Very High
857,1198,2,3,2,3,2,3,20,3,1,2,No,1,0,805,87,12828,3033,12,1,3,1,3,2,2,2,2,2,1,2,No,3,Bachelor,18-25,Meduim Salary,New Employee,High
1021,1438,2,7,6,3,2,2,47,1,1,3,No,7,1,465,74,10205,3420,12,1,4,3,3,2,17,2,6,5,1,2,No,3,Bachelor,46-55,Meduim Salary,Experienced,Very High
1108,1563,1,2,1,2,2,2,38,10,2,3,No,3,0,888,71,14814,6077,11,3,3,3,3,3,10,2,6,3,1,2,No,4,Master,36-45,Meduim Salary,Experienced,High
1114,1574,2,7,6,1,2,2,32,1,2,3,No,4,1,1200,62,25174,4087,14,4,1,2,3,2,9,3,6,5,1,2,No,4,Master,26-35,Meduim Salary,Experienced,Low
1199,1681,3,8,2,1,1,1,33,16,2,3,Yes,1,1,530,36,16130,5368,25,3,4,3,4,3,7,2,6,5,1,2,No,3,Bachelor,26-35,Meduim Salary,Experienced,Very High
1231,1725,2,3,4,3,2,1,24,29,1,3,No,1,3,506,91,3622,3907,13,2,1,2,3,4,6,2,6,2,1,2,No,1,Below College,18-25,Meduim Salary,Experienced,Low
1401,1972,1,2,5,2,2,2,38,1,1,3,Yes,0,1,1444,88,5224,2991,11,4,2,2,3,3,7,2,6,2,1,2,No,4,Master,36-45,Low Salary,Experienced,Medium
1412,1987,1,2,1,3,1,2,25,2,1,3,No,4,0,309,82,19655,2187,14,3,2,3,3,3,6,3,2,0,1,2,No,3,Bachelor,18-25,Low Salary,New Employee,Medium
1418,1996,3,9,2,3,2,2,31,2,1,3,No,0,1,1154,54,6393,3067,19,1,3,3,3,3,3,1,2,2,1,2,No,2,College,26-35,Meduim Salary,New Employee,High
1437,2021,3,9,4,3,2,3,21,5,1,3,Yes,1,0,501,58,25479,2380,11,3,1,4,3,3,2,6,2,2,1,2,No,1,Below College,18-25,Low Salary,New Employee,Low
396,525,2,3,4,2,2,2,43,21,1,3,No,7,1,313,61,15238,2258,20,4,4,1,4,3,8,1,3,2,1,2,No,3,Bachelor,36-45,Low Salary,Early Career,Very High
518,707,3,8,2,3,2,2,25,8,2,4,No,0,1,810,57,15678,4851,22,4,2,3,4,3,4,4,3,2,1,2,No,3,Bachelor,18-25,Meduim Salary,Early Career,Medium
710,991,2,7,4,1,2,3,31,9,1,2,Yes,0,0,335,46,10322,2321,22,3,1,1,4,3,4,0,3,2,1,2,Yes,2,College,26-35,Low Salary,Early Career,Low
741,1028,2,3,5,3,2,1,35,10,1,3,No,1,1,802,45,9541,3917,20,2,4,1,4,2,3,4,3,2,1,2,No,3,Bachelor,26-35,Meduim Salary,Early Career,Very High
842,1173,2,3,4,3,2,3,24,24,1,3,No,8,0,477,49,6409,3597,22,4,2,4,4,3,6,2,4,3,1,2,No,3,Bachelor,18-25,Meduim Salary,Early Career,Medium
1072,1509,2,3,4,3,1,2,49,3,2,2,No,4,1,271,43,23070,4789,25,3,1,1,4,3,10,3,3,2,1,2,No,2,College,46-55,Meduim Salary,Early Career,Low
1103,1556,3,9,2,3,2,3,36,2,1,3,Yes,3,0,1157,70,17001,2644,21,3,4,4,4,2,7,3,3,2,1,2,No,4,Master,36-45,Low Salary,Early Career,Very High
1308,1834,2,7,4,3,1,2,28,1,1,3,No,1,1,1217,67,12719,3591,25,3,1,3,4,3,3,3,3,2,1,2,No,3,Bachelor,26-35,Meduim Salary,Early Career,Low
20,24,2,7,2,3,2,3,38,2,1,3,Yes,5,0,371,45,4306,3944,11,4,4,3,3,3,6,3,3,2,1,2,No,3,Bachelor,36-45,Meduim Salary,Early Career,Very High
69,88,2,7,4,2,2,2,35,1,1,3,No,4,1,664,79,5868,2194,13,2,1,4,3,2,5,2,3,2,1,2,No,3,Bachelor,26-35,Low Salary,Early Career,Low
100,132,2,3,4,1,2,2,44,23,2,3,No,4,1,489,67,25043,2042,12,2,2,3,3,4,17,3,3,2,1,2,No,3,Bachelor,36-45,Low Salary,Early Career,Medium
114,150,2,3,2,3,2,2,24,18,1,3,No,0,1,1127,52,13257,2774,12,2,3,3,3,3,6,2,5,3,1,2,No,1,Below College,18-25,Low Salary,Early Career,High
131,171,2,7,4,2,1,3,43,28,1,4,No,4,0,957,72,16090,4739,12,2,3,4,3,3,18,2,3,2,1,2,No,3,Bachelor,36-45,Meduim Salary,Early Career,High
147,198,2,3,4,3,2,3,30,2,1,2,No,0,0,1427,35,11162,2720,13,2,4,4,3,3,6,3,5,3,1,2,No,1,Below College,26-35,Low Salary,Early Career,Very High
160,216,3,9,3,2,1,2,34,2,1,3,No,6,1,303,75,11314,2231,18,3,3,4,3,3,6,3,4,3,1,2,No,4,Master,26-35,Low Salary,Early Career,High
182,247,2,7,4,3,1,3,34,27,1,3,No,2,0,629,95,5711,2311,15,4,2,4,3,3,9,3,3,2,1,2,No,2,College,26-35,Low Salary,Early Career,Medium
239,330,3,9,2,3,1,2,32,4,1,3,No,2,1,1401,56,20990,3931,11,3,2,1,3,3,6,5,4,3,1,2,No,2,College,26-35,Meduim Salary,Early Career,Medium
